,Unnamed: 0,Title,Artist(s),Track_ID,Genre
104,5,How Can You Mend a Broken Heart,Bee Gees,30181862,Pop
105,6,Indian Reservation (The Lament of the Cherokee Reservation Indian),Paul Revere & the Raiders,182695360,Pop
106,7,Go Away Little Girl,Donny Osmond,80933248,Pop
107,8,"Take Me Home, Country Roads",John Denver,89769964,Traditional Country
108,9,Just My Imagination (Running Away with Me),The Temptations,35766701,Motown
109,10,Knock Three Times,Tony Orlando and Dawn,95447064,Pop
110,11,Me and Bobby McGee,Janis Joplin,114524717,Pop
111,12,Tired of Being Alone,Al Green,134841738,R&B/Soul
112,13,Want Ads,Honey Cone,101254546,R&B/Soul
113,14,Smiling Faces Sometimes,The Undisputed Truth,147269364,R&B/Soul
114,15,Treat Her Like a Lady,Cornelius Brothers & Sister Rose,96661079,R&B/Soul
115,16,You've Got a Friend,James Taylor,missing,missing
116,17,Mr. Big Stuff,Jean Knight,100322785,R&B/Soul
117,18,Brown Sugar,The Rolling Stones,175473409,Rock
118,19,Do You Know What I Mean,Lee Michaels,105458632,Psychedelic
119,20,The Night They Drove Old Dixie Down,Joan Baez,93964734,Singer/Songwriter
120,21,What's Going On,Marvin Gaye,87244716,Music
121,22,Uncle Albert/Admiral Halsey,Paul & Linda McCartney,missing,missing
122,23,Ain't No Sunshine,Bill Withers,14097428,Blues
123,24,Signs,Five Man Electrical Band,93765208,Rock
124,25,She's a Lady,Tom Jones,missing,missing
125,26,I've Found Someone of My Own,The Free Movement,missing,missing
126,27,Superstar,Murray Head & The Trinidad Singers,missing,missing
127,28,Amos Moses,Jerry Reed,97608611,Country
128,29,Temptation Eyes,The Grass Roots,67158254,Rock
129,30,Superstar,The Carpenters,164291059,Pop
130,31,My Sweet Lord,George Harrison,84282806,Folk-Rock
131,32,Sweet and Innocent,Donny Osmond,147269272,Pop
132,33,Put Your Hand in the Hand,Ocean,51299687,Pop
133,34,Chick-A-Boom (Don't Ya Jes' Love It),Daddy Dewdrop,76638124,Pop
134,35,For All We Know,The Carpenters,40149355,Rock
135,36,Help Me Make It Through the Night,Sammi Smith,78901187,Country
136,37,Rainy Days and Mondays,The Carpenters,164291059,Pop
137,38,If You Could Read My Mind,Gordon Lightfoot,96579192,Soft Rock
138,39,"Gypsys, Tramps & Thieves",Cher,116203482,Pop
139,40,Never Can Say Goodbye,The Jackson 5,missing,missing
140,41,Rose Garden,Lynn Anderson,47420274,Country
141,42,Don't Pull Your Love,"Hamilton, Joe Frank & Reynolds",missing,missing
142,43,It Don't Come Easy,Ringo Starr,45548453,Rock
143,44,Mr. Bojangles,Nitty Gritty Dirt Band,97964023,Country
144,45,I Love You for All Seasons,The Fuzz,missing,missing
145,46,Whatcha See is Whatcha Get,The Dramatics,missing,missing
